"ID","Voter.ID","Weight","Time.Created","Choice","Proposal.ID","Space.ID","Tot.Votes","N.Votes","Prop.Votes","Max.Prop"
"bafkreibizncuarfkr6qoi43p4tpdadie4ugcdrbpjz4onnl7twujhfn2me","0xc565060dC224A8f281133A03E29dc8d2815C1a68",1,1658285008,1,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,620,0.607843137254902,0.607843137254902
"0xbffa86eb2c84c89931875e8d561539da83e9f359f0045536ff369ae3256e63e8","0x9b9e8CC62aE73ef48869e1e5a4AdA409e8E53481",1,1658284956,1,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,620,0.607843137254902,0.607843137254902
"bafkreiewmzav55a6nnahtnv2wxrwzounytyk3hadujwrilwc4seqlvd7iu","0x8fAAC822e201F91B423C48Ad8f9d3D1885DDbF7e",1,1658284886,1,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,620,0.607843137254902,0.607843137254902
"0x06c460f64ea3dc6a0ee203d87f5bb6ea6618af81ff37128fd589d19bc4e0b9ae","0xe741B8D4BdfD3fE3b2274613F39Ce7a9535cD389",1,1658284881,2,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,400,0.392156862745098,0.607843137254902
"0xf2f790d3bea66c8b72c43b054acd3dfd59dbfca9f7242d7c5b279d50a3f415c4","0x959aFE2Be79AB3d677957C7Ec22cB08719137594",1,1658284787,2,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,400,0.392156862745098,0.607843137254902
"0x742c1e5b0f899c014767178f7b5c91ec6aff4c9d3ee7d2331fc55644ddb34d8a","0xC588a21D39CD4e6636A6978e8417918f75526731",1,1658284711,2,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,400,0.392156862745098,0.607843137254902
"0x5d8b64f899496a8d66f6e09a674298d573cc71b3990e443ec33dc86affe7530b","0x141172f2D12dD7fFC4166091C2AFEcA0e667aCe8",1,1658284638,1,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,620,0.607843137254902,0.607843137254902
"0x0898b4a8545c9c9035d195edc4a1123eb99b40a6da13208b3ffb0b992bf076cb","0x2e540c8513f234c7056852EBf4ef586e6cfC51c7",1,1658284637,2,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,400,0.392156862745098,0.607843137254902
"0xaf528e18166cdc038090b70572d0f1c0ebebc92550f120815fd0ed69337a53a5","0x7ccFAc2D20398925391Bd6dF46FfCb67D4E8223e",1,1658284520,2,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,400,0.392156862745098,0.607843137254902
"0x3081025d27c5aabc1fa49cf1f6c5645d326d7ec2450e39fc875ff56dd8dd3db1","0x0B4C4d870827f00d9081e6b9aF67d912Ab178002",1,1658284502,1,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,620,0.607843137254902,0.607843137254902
